yyyyq,Index,D3,D12,E3,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
19772,100.48,NaN,4.400,2.870,10.420,0.8711120812,0.0502,0.0795,0.0891,0.0754,0.0015593210,0.0320407791,0.0120756166,0.0201329359,0.0364116455,0.0385683550,0.0021830175,-0.0015935849,0.0357783834,0.0325974069,0.0206154870
19773,96.53,NaN,4.550,2.710,10.710,0.9422625161,0.0581,0.0792,0.0880,0.0764,-0.0004528510,0.0324553673,0.0137102241,0.0120767840,0.0097246819,0.0108643950,0.0016403505,-0.0018026906,0.0361480500,-0.0283872625,-0.0394516395
19774,95.10,NaN,4.710,2.800,10.890,0.9603330245,0.0607,0.0819,0.0899,0.0803,0.0008622350,0.0305013731,0.0152362425,0.0113902200,-0.0168850370,-0.0082470866,0.0027403470,-0.0018338899,0.0369638618,-0.0011833754,-0.0145504071
19781,89.21,NaN,4.840,2.540,10.920,1.1114925531,0.0629,0.0847,0.0922,0.0831,0.0052436280,0.0275027778,0.0159409006,0.0198155751,-0.0096872333,0.0003384594,0.0022008019,-0.0013817078,0.0368763887,-0.0510542587,-0.0636382267
19782,95.53,NaN,4.950,3.180,11.230,1.0279015813,0.0673,0.0876,0.0960,0.0865,0.0037456450,0.0164291145,0.0161480927,0.0288383696,-0.0124580580,-0.0108052329,0.0038536501,-0.0018349394,0.0395235672,0.0855942396,0.0716301166
19783,102.54,NaN,5.040,3.050,11.570,0.9722575131,0.0785,0.0869,0.0942,0.0860,0.0000004050,0.0126719834,0.0182276963,0.0204106288,0.0254257756,0.0310864841,0.0028001445,-0.0025993048,0.0403382475,0.0868341210,0.0739947308
19784,96.11,NaN,5.120,3.560,12.330,1.0457012956,0.0908,0.0916,0.0994,0.0898,0.0002132390,0.0147348054,0.0213486513,0.0180055759,-0.0144587860,-0.0205766165,0.0069465423,-0.0015481539,0.0410214207,-0.0496836212,-0.0633000561
19791,101.59,NaN,5.240,3.510,13.300,1.0330789394,0.0948,0.0937,0.1026,0.0902,-0.0013450240,0.0115414513,0.0233670881,0.0304001511,0.0183110637,0.0160213435,0.0026159273,-0.0013499220,0.0412717945,0.0710180220,0.0566064505
19792,102.91,NaN,5.400,3.860,13.980,1.0578636072,0.0906,0.0929,0.1038,0.0877,0.0022324070,0.0120254544,0.0233505004,0.0356550877,0.0461619788,0.0448516907,0.0021425434,-0.0013276842,0.0404833911,0.0271188164,0.0127289729
19793,109.32,NaN,5.560,3.700,14.630,1.0137949874,0.1026,0.0944,0.1054,0.0927,-0.0011040450,0.0092174588,0.0240861920,0.0312311215,-0.0240242129,-0.0203570767,0.0024472308,-0.0014195561,0.0411056973,0.0762536386,0.0624589656
