yyyyq,Index,D3,D12,E3,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
19972,885.14,3.870,15.160,10.440,40.550,0.1842876150,0.0493,0.0741,0.0802,0.0688,-0.0002444880,0.0103177434,0.0125902017,0.0018732434,0.0556385733,0.0507233642,0.0069869994,-0.0006620977,0.0402094599,0.1750326667,0.1698116844
19973,947.28,4.060,15.330,9.870,40.640,0.1779678570,0.0495,0.0715,0.0770,0.0649,-0.0034372060,0.0148172806,0.0125902045,0.0056088421,0.0614293123,0.0507550413,0.0071014311,-0.0007428601,0.0416319546,0.0760087142,0.0713816126
19974,970.43,3.950,15.490,8.940,39.720,0.1788008842,0.0516,0.0676,0.0732,0.0602,-0.0070956570,0.0157230436,0.0126980810,0.0006163189,0.0687137261,0.0461720144,0.0142753058,-0.0008887790,0.0412894775,0.0294990796,0.0252445126
19981,1101.75,3.760,15.640,10.290,39.540,0.1811403960,0.0503,0.0672,0.0732,0.0602,-0.0185733740,0.0166294532,0.0126068069,0.0055744829,0.0151876400,0.0168397736,0.0046589760,-0.0007397901,0.0419940101,0.1405175232,0.1363975645
19982,1133.84,4.180,15.950,9.870,38.970,0.1780606060,0.0498,0.0653,0.0713,0.0576,-0.0186542910,0.0240237086,0.0124159382,0.0049280048,0.0441226389,0.0338425279,0.0046709311,-0.0011688478,0.0425666577,0.0341293896,0.0302381656
19983,1017.01,4.260,16.150,8.990,38.090,0.2032484042,0.0461,0.0640,0.0709,0.0517,-0.0055680800,0.0244919569,0.0120341400,0.0036787252,0.0834854030,0.0446843916,0.0215331101,-0.0016339078,0.0422316453,-0.0981455864,-0.1018822067
19984,1229.23,4.000,16.200,8.560,37.710,0.1736113154,0.0439,0.0622,0.0723,0.0542,-0.0204382650,0.0198549918,0.0106144885,0.0018305721,-0.0154720633,0.0084944870,0.0103951034,-0.0010338728,0.0428014127,0.2157749685,0.2115605501
19991,1286.37,4.010,16.450,10.960,38.380,0.1728971707,0.0444,0.0662,0.0753,0.0592,-0.0237328640,0.0203487784,0.0109964859,0.0067030523,-0.0412967766,-0.0280988886,0.0100313511,-0.0010753509,0.0428087875,0.0489065325,0.0454855317
19992,1372.71,4.180,16.450,12.510,41.020,0.1542274468,0.0457,0.0723,0.0802,0.0627,-0.0195577300,0.0187029382,0.0111127111,0.0072464085,-0.0241106270,-0.0356384358,0.0082215219,-0.0011446288,0.0433420200,0.0686635858,0.0650794250
19993,1282.71,4.450,16.640,11.930,43.960,0.1636844982,0.0468,0.0739,0.0820,0.0646,-0.0121473730,0.0198845320,0.0116025291,0.0102097091,-0.0046680472,-0.0046996168,0.0070459696,-0.0009857026,0.0435837737,-0.0621641231,-0.0654139907
19994,1469.25,4.050,16.690,12.770,48.170,0.1471672594,0.0520,0.0755,0.0819,0.0682,-0.0240945380,0.0179400266,0.0125818921,0.0023805981,-0.0226796435,-0.0079346249,0.0073790169,0.0000642780,0.0428954588,0.1543399535,0.1509189024
20001,1498.58,4.080,16.760,13.740,50.950,0.1499735618,0.0569,0.0768,0.0837,0.0618,-0.0305056640,0.0183726337,0.0137683330,0.0171748878,0.0883296505,0.0241003435,0.0148850832,0.0001848837,0.0435747384,0.0257441480,0.0227116254
20002,1454.60,4.120,16.700,13.480,51.920,0.1567779616,0.0569,0.0767,0.0848,0.0622,-0.0202217550,-0.0029407142,0.0142494354,0.0069947433,0.0111248414,0.0042914259,0.0154869284,-0.0002467433,0.0442776903,-0.0284884146,-0.0311429695
20003,1436.51,4.090,16.340,13.710,53.700,0.1537894629,0.0600,0.0762,0.0835,0.0612,-0.0212251010,-0.0000286032,0.0150040806,0.0075243540,0.0253602714,0.0363872016,0.0047046815,-0.0005084875,0.0436736054,-0.0035142854,-0.0063699063
20004,1320.28,3.980,16.270,9.070,50.000,0.1518515036,0.0577,0.0721,0.0802,0.0558,-0.0064180390,-0.0069489195,0.0150040516,0.0017252953,0.0767406057,0.0587531454,0.0141398712,-0.0005248530,0.0429646310,-0.0769395155,-0.0797136878
20011,1160.33,3.780,15.970,9.180,45.440,0.1331135514,0.0442,0.0698,0.0784,0.0559,0.0015374800,-0.0099857318,0.0120174703,0.0126130048,0.0120644393,0.0460136678,0.0146090222,-0.0018640665,0.0417522022,-0.1213218793,-0.1240896146
20012,1224.42,3.840,15.690,4.830,36.790,0.1252094328,0.0349,0.0718,0.0797,0.0590,-0.0008686390,0.0130454353,0.0091360488,0.0101960562,-0.0194513944,0.0057323107,0.0114708573,-0.0015922058,0.0395920530,0.0588621918,0.0556440940
20013,1040.94,4.140,15.740,5.230,28.310,0.1486285882,0.0264,0.0717,0.0803,0.0542,-0.0007823040,0.0110660468,0.0079144014,0.0016713250,0.0675522539,0.0362687600,0.0122887278,-0.0018229150,0.0383391531,-0.1467127054,-0.1498646635
20014,1148.08,3.980,15.740,5.450,24.690,0.1312178459,0.0169,0.0677,0.0805,0.0575,0.0004124520,0.0160697925,0.0047628449,-0.0089884651,-0.0211326364,0.0148617340,0.0072370891,-0.0013361672,0.0365034007,0.1098439803,0.1058970147
20021,1147.39,3.770,15.730,9.190,24.700,0.2368334023,0.0179,0.0681,0.0811,0.0604,-0.0165290050,0.0162407742,0.0043052393,0.0118582595,-0.0192512993,0.0003210388,0.0067665437,-0.0022385902,0.0348744003,0.0028184548,-0.0005991183
20022,989.81,4.150,16.040,6.870,26.740,0.2665725018,0.0170,0.0663,0.0795,0.0566,-0.0076880740,0.0292383664,0.0042885997,0.0061363793,0.0620574000,0.0444551570,0.0101293348,-0.0026067905,0.0339975934,-0.1347526845,-0.1380921348
20023,815.29,3.901,15.801,8.530,30.040,0.3245551555,0.0163,0.0615,0.0740,0.0480,0.0035941860,0.0323652710,0.0041055221,0.0061069523,0.1230629369,0.0898407010,0.0321181932,-0.0032126151,0.0335284850,-0.1691585380,-0.1728588778
20024,879.82,4.256,16.077,3.000,27.590,0.2953858956,0.0119,0.0621,0.0745,0.0484,0.0005079660,0.0285208738,0.0033314510,-0.0005562967,0.0073677451,0.0243796368,0.0186782487,-0.0041443054,0.0328219422,0.0850411489,0.0798526848
20031,848.18,3.922,16.229,11.920,30.320,0.2861564890,0.0113,0.0589,0.0695,0.0490,0.0035037610,0.0266106119,0.0028902736,0.0182023983,0.0081549180,0.0203269965,0.0138678120,NaN,0.0323537245,-0.0315220555,-0.0360217011
20032,974.51,4.086,16.165,11.100,34.550,0.2545228375,0.0092,0.0497,0.0619,0.0445,-0.0092928430,0.0018514123,0.0025988659,-0.0027144408,0.0535257809,0.0557621662,0.0072908303,NaN,0.0329429332,0.1551118095,0.1501612987
20033,995.97,4.322,16.586,12.560,38.580,0.2465752056,0.0094,0.0572,0.0679,0.0523,-0.0161909780,0.0071991901,0.0023240990,0.0081654872,-0.0331744846,-0.0212562983,0.0048811605,NaN,0.0334220068,0.0267458360,0.0222759563
20034,1111.92,5.055,17.385,13.160,48.740,0.2187695187,0.0090,0.0562,0.0660,0.0515,-0.0186624220,0.0067120145,0.0022907917,-0.0048596112,-0.0174534279,-0.0015169173,0.0032209760,NaN,0.0333758952,0.1206056847,0.1153233221
20041,1126.21,4.560,18.023,15.180,52.000,0.2712957510,0.0094,0.0533,0.0611,0.0474,-0.0165484480,0.0120569190,0.0022934170,0.0168204015,0.0568241344,0.0490674877,0.0035707934,NaN,0.0332409333,0.0182684144,0.0141244638
20042,1140.84,4.664,18.601,15.250,56.150,0.2692736702,0.0127,0.0601,0.0678,0.0532,-0.0149310800,0.0123244813,0.0026940618,0.0122732124,-0.0522696815,-0.0513799840,0.0029793061,NaN,0.0335471601,0.0173450625,0.0131114927
20043,1114.58,4.882,19.163,14.180,57.770,0.2787623744,0.0165,0.0546,0.0627,0.0488,-0.0165958840,0.0091234054,0.0037212553,0.0010542963,0.0657461276,0.0693189307,0.0029256060,NaN,0.0340903461,-0.0187406502,-0.0231673643
20044,1211.92,5.334,19.440,13.940,58.550,0.2605951399,0.0219,0.0547,0.0615,0.0484,-0.0235132390,0.0130071853,0.0050250261,0.0021063718,0.0164306310,0.0216710504,0.0028157301,NaN,0.0344671074,0.0918032433,0.0834859058
20051,1180.59,5.345,20.226,16.950,60.320,0.3350228870,0.0274,0.0540,0.0606,0.0488,-0.0195285450,0.0092054554,0.0063550524,0.0157645822,0.0094949248,0.0034873880,0.0025157432,NaN,0.0346455538,-0.0202511616,-0.0247539341
20052,1191.33,5.364,20.926,18.290,63.360,0.3424827518,0.0297,0.0496,0.0586,0.0429,-0.0165402600,0.0075515947,0.0071754209,0.0062079669,0.0859452104,0.0781552716,0.0032274287,NaN,0.0347483977,0.0139216115,0.0092999299
20053,1228.81,5.432,21.475,17.390,66.570,0.3329643192,0.0342,0.0513,0.0603,0.0464,-0.0170296460,0.0060601379,0.0084235316,0.0221079692,-0.0303787244,-0.0326167959,0.0020065323,NaN,0.0349099275,0.0360787674,0.0314574784
20054,1248.29,6.079,22.220,17.290,69.930,0.3283414976,0.0389,0.0537,0.0632,0.0461,-0.0149565300,0.0037358744,0.0095971990,-0.0100603622,0.0142266628,0.0115572459,0.0027908822,NaN,0.0350107696,0.0220987399,0.0171796720
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
