yyyyq,Index,dpr,earning_price_ratio,devident_payout_ratio,svar,b2m,ntis,tbl,lty,ltr,tms,dft,drs,infl,ik,stock_premium
19471.0,15.17,3.047823860332477,2.480302892889941,2.480302892889941,0.0057175891,0.7415349887,0.05086363519999999,0.0038,0.0213,0.0035017375,0.017499999999999998,0.006000000000000002,0.004205214200000001,0.0199518279,0.0360430462,0.02541798164588003
19472.0,15.21,2.996389951972962,2.3573099926832923,2.3573099926832923,0.0066625279,0.7411167513,0.0468877419,0.0038,0.0216,0.0005873778,0.0178,0.006599999999999998,0.0038182237999999998,0.0045326151,0.0350892128,0.024033713845101907
19473.0,15.11,2.951079109805718,2.2771018453534926,2.2771018453534926,0.0040863187,0.7403233985,0.0440295654,0.008,0.0213,0.0099874455,0.0133,0.006200000000000001,-0.0281346495,0.0435565445,0.034052912799999994,0.022645996539311715
19474.0,15.3,2.902206215543168,2.251618649402018,2.251618649402018,0.0023564222,0.7253256790000001,0.029166134399999998,0.0095,0.0243,-0.0398317361,0.014799999999999999,0.006600000000000002,0.0225817089,0.0187667939,0.0348254595,0.027799550477124183
19481.0,15.08,2.875888292077585,2.1768759920652414,2.1768759920652414,0.0048423559,0.8414221219,0.0271646755,0.01,0.0241,0.0100316713,0.0141,0.006999999999999999,0.007850246300000002,-0.00010398719999999999,0.0366345654,0.030682519273740057
19482.0,16.74,2.980319994559104,2.197224577336219,2.197224577336219,0.0027216002000000003,0.7869735036,0.024368971200000002,0.01,0.0238,0.010106677,0.013800000000000002,0.0058,-0.0138418422,0.028338294500000003,0.0349442901,0.029161734051015534
19483.0,15.49,2.879456721762285,2.0126460471514998,2.0126460471514998,0.0060830384999999996,0.8362310712000001,0.0196880984,0.0109,0.0242,-0.0006030103,0.0133,0.006100000000000001,0.0032750617,0.0165346375,0.0346856954,0.03481966114318915
19484.0,15.2,2.793866120687066,1.8927436102860824,1.8927436102860824,0.0076987257,0.8409475465,0.0150263121,0.0116,0.0237,0.0139518298,0.0121,0.007399999999999997,0.010211627400000003,-0.017766248000000002,0.035238786800000005,0.041888195305263165
19491.0,15.06,2.732244929689267,1.8449417346883643,1.8449417346883643,0.003676125,0.9017504234999999,0.014771834099999999,0.0117,0.0227,0.0206374173,0.011000000000000001,0.007700000000000002,-0.012317647199999998,-0.009775784499999999,0.0332233994,0.03625305182602922
19492.0,14.16,2.630618460969394,1.7749523509116738,1.7749523509116738,0.0030733641,0.9538884243000001,0.01519133,0.0117,0.0217,0.0197522249,0.01,0.007600000000000003,-0.0051921715,0.0013976384,0.0316632816,0.035918232909604525
19493.0,15.58,2.706767327289321,1.874694674499183,1.874694674499183,0.0030861337,0.8750205468000001,0.021894047000000003,0.0107,0.0212,0.0133207497,0.0105,0.007700000000000002,0.0024445171999999977,-3.76019e-05,0.029894465099999996,0.033978166153658534
19494.0,16.76,2.687966832647533,1.9774279093757183,1.9774279093757183,0.0019928478,0.7964292839,0.0264993791,0.011,0.0209,0.009224810699999999,0.009899999999999999,0.0072999999999999975,-0.0150385447,-0.0098225527,0.0292330227,0.033705721984248205
19501.0,17.29,2.6931245508855346,1.9872383445481594,1.9872383445481594,0.0019435657999999998,0.8255277845000001,0.0295888023,0.0112,0.0215,-0.0032160202,0.010299999999999998,0.006599999999999998,0.009828295899999999,-0.0028469647,0.029942528700000002,0.034258550462984386
19502.0,17.69,2.6906779513777397,1.940835427141249,1.940835427141249,0.007071319300000001,0.8134474678,0.0317054399,0.0115,0.0216,0.0037941253000000003,0.010100000000000001,0.006600000000000002,-0.0030971638000000003,0.0113054669,0.032456257999999995,0.03781901239491238
19503.0,19.45,2.682668127830793,1.9672151897565495,1.9672151897565495,0.0055847443000000005,0.7514578547,0.0270593566,0.013,0.022,-0.0003420354,0.009,0.005699999999999997,0.0071264231,0.0251025769,0.035106966499999996,0.03551196431105398
19504.0,20.41,2.630762576031109,1.9722209246486389,1.9722209246486389,0.0065212108,0.7225384418999999,0.031866602200000003,0.0134,0.0224,0.00028109310000000003,0.009,0.005299999999999999,0.006625157,0.0231088902,0.034702251499999996,0.03242697448971092
